"Subject","CSF_pg.mL","CSF_AVP_pg.mL","Plasma_pg.mL","Urine_pg.mL","Creatinine_mg.mL","uOT.Creatinine","Subspecies","Sex","Birthdate","DateOfCollection","AgeAtCollection","Weight","Harem","HaremSize_AtDOC","Corral","CorralSize","nOffspring","InfantPresent","Pregnant","Blood_in_CSF","Plasma_Lysis","CSF_OXT_censored","Urine_OXT_censored","Plasma_OXT_censored","CSF_AVP_censored","GD_DOC","Lactating"
"6904",30.08,3.23,9.11,NA,NA,NA,"Anubis","F","10/21/04",2014-08-06,9.79,19.3,NA,NA,"SW",47,3,"Y","N","N","N",0,0,0,-1,0,"Lactating"
"6P27",NA,NA,0.35,110.45,2.25,49.07,"Hamadryas","F","4/6/06",2014-05-12,8.1,13.4,"184Y",6,"3",39,4,"Y","Y","N","N",0,0,0,0,52,"Not_Lactating"
"6P29",64.73,NA,4.1,7.66,0.48,16.03,"Hamadryas","F","4/11/06",2014-05-29,8.13,16.5,"25Y",11,"4",39,4,"Y","N","N","N",0,0,-1,0,0,"Lactating"
"7108",34.52,3.23,4.55,19.07,1.38,13.86,"Anubis","F","6/18/08",2014-08-06,6.13,12.3,NA,NA,"SW",47,1,"N","N","N","N",0,0,-1,-1,0,"Lactating"
"7706",18.77,6.46,1.22,14.95,1.16,12.85,"Anubis","M","9/18/06",2014-10-22,8.09,33.9,NA,NA,"SE",45,NA,NA,NA,"N","N",0,0,0,-1,0,"Not_Lactating"
"7P11",NA,NA,2.59,12.63,1.43,8.84,"Hamadryas","F","3/26/07",2014-05-12,7.13,16.1,"84Y",16,"3",39,2,"Y","N","N","Y",0,0,0,0,0,"Lactating"
"7P63",NA,NA,4.55,10.58,0.49,21.68,"Hamadryas","F","11/4/07",2014-05-29,6.57,15.4,"28Y",17,"4",39,1,"Y","N","N","N",0,0,-1,0,0,"Not_Lactating"
"7P71",52.47,NA,4.55,52.23,1.23,42.33,"Hamadryas","F","11/18/07",2014-05-08,6.47,12.6,"32Y",19,"2",35,1,"N","Y","Y","Y",0,0,-1,0,120,"Not_Lactating"
"7P76",26.22,2.97,4.55,21.68,1.72,12.63,"Hamadryas","F","12/1/07",2014-05-08,6.44,14.1,"32Y",19,"2",35,1,"Y","N","N","Y",0,0,-1,0,0,"Lactating"
"8006",15.49,NA,1.86,15.06,0.76,19.71,"Anubis","M","10/2/06",2014-10-01,8,28.5,NA,NA,"NW",50,NA,NA,NA,"N","N",0,0,0,0,NA,NA
"803",23.89,3.23,4.55,31,1.66,18.69,"Anubis","F","1/21/03",2014-08-06,11.54,22,NA,NA,"SW",47,6,"Y","N","Y","N",0,0,-1,-1,0,"Lactating"
"81Y",19.15,NA,4.1,24.19,2.33,10.38,"Hamadryas","M","4/1/01",2013-11-06,12.6,32.9,"81Y",14,"2",35,NA,NA,NA,"Y","N",0,0,-1,0,0,"Not_Lactating"
"8209",26.55,3.23,20.26,108.33,3.88,27.96,"Anubis","F","7/21/09",2014-08-20,5.08,13,NA,NA,"NE",56,0,"N","N","N","N",0,0,0,-1,0,"Not_Lactating"
"84Y",34.01,NA,4.1,30.3,4.24,7.15,"Hamadryas","M","4/1/01",2013-11-13,12.62,24.8,"84Y",16,"3",39,NA,NA,NA,"N","N",0,0,-1,0,0,"Not_Lactating"
"8606",46.06,3.23,5.12,7.77,0.92,8.47,"Anubis","F","10/20/06",2014-08-20,7.83,13.9,NA,NA,"NE",56,2,"Y","N","Y","N",0,0,-1,-1,0,"Lactating"
"8907",23.37,3.23,4.55,45.93,0.96,48.09,"Anubis","F","12/3/07",2014-10-22,6.89,16.3,NA,NA,"SE",45,0,"N","N","N","N",0,0,-1,-1,0,"Not_Lactating"
"8P48",40.35,NA,4.1,15.62,0.7,22.19,"Hamadryas","F","7/29/08",2014-05-08,5.78,12.2,"32Y",19,"2",35,0,"N","Y","N","N",0,0,-1,0,117,"Not_Lactating"
"8P61",61.43,NA,4.55,6.58,0.88,7.48,"Hamadryas","F","9/22/08",2014-05-29,5.69,15.4,"25Y",11,"4",39,0,"N","N","N","N",-1,0,-1,0,0,"Not_Lactating"
"8P86",26.67,3.23,6.67,32.98,0.7,47.18,"Hamadryas","F","12/1/08",2014-05-12,5.45,13.8,"184Y",6,"3",39,0,"N","Y","N","N",0,0,0,-1,115,"Not_Lactating"
"8P92",10.37,3.23,2.93,50.91,0.35,145.46,"Hamadryas","F","12/13/08",2014-05-12,5.41,14.2,"84Y",16,"3",39,0,"N","Y","Y","N",0,0,0,-1,130,"Not_Lactating"
"9206",8.04,3.23,1.29,35.76,4.08,8.78,"Anubis","M","11/10/06",2014-10-01,7.89,29.3,NA,NA,"NW",50,NA,NA,NA,"N","N",0,0,0,-1,NA,NA
"93Y",13.65,NA,4.1,31.8,0.74,42.97,"Hamadryas","F","6/15/01",2014-05-16,12.92,21.5,"67Y",14,"3",39,5,"Y","Y","N","Y",-1,0,-1,0,92,"Not_Lactating"
"9508",36.96,NA,2.65,20.03,2.74,7.3,"Anubis","F","8/26/08",2014-08-20,5.98,18.2,NA,NA,"NE",56,1,"N","N","N","N",0,0,0,0,0,"Not_Lactating"
"9607",1.95,3.23,4.51,9.92,0.43,23.34,"Anubis","M","12/14/07",2014-10-01,6.8,26.7,NA,NA,"NW",50,NA,NA,NA,"N","N",0,0,0,-1,NA,NA
"96X",NA,NA,NA,104.04,0.85,122.26,"Hamadryas","F","7/31/00",2014-05-08,13.77,21.8,"81Y",14,"2",35,10,"Y","Y","N","N",0,0,0,0,114,"Not_Lactating"
"B7W",61.43,NA,15.93,342.04,3.69,92.72,"Hamadryas","F","1/27/99",2014-05-08,15.28,18.8,"81Y",14,"2",35,8,"Y","Y","Y","Y",-1,0,0,0,112,"Not_Lactating"
"B8V",25.49,10.49,4.55,19.01,1.25,15.21,"Hamadryas","F","1/23/98",2014-05-29,16.35,17.9,"25Y",11,"4",39,9,"Y","N","Y","N",0,0,-1,0,0,"Not_Lactating"
"GR66",21.6,6.46,5,8.28,0.55,15.08,"Anubis","M","7/8/06",2014-08-20,8.12,29,NA,NA,"NE",56,NA,NA,NA,"N","N",0,0,0,-1,0,"Not_Lactating"
"OS1170",39.54,3.23,4.32,NA,NA,NA,"Anubis","F","1/1/96",2014-11-05,18.84,22.5,NA,NA,"ARA 179",10,14,"N","N","N","N",0,0,0,0,NA,NA
"PC9511",27.54,NA,5.12,84.7,1.08,78.64,"Anubis","F","8/16/95",2014-08-06,18.97,23.5,NA,NA,"SW",47,10,"N","N","N","N",0,0,-1,0,0,"Not_Lactating"
"PC9604",34.12,7.53,5.12,20.96,0.69,30.29,"Anubis","F","3/13/96",2014-08-06,18.4,18.7,NA,NA,"SW",47,11,"N","N","N","N",0,0,-1,0,0,"Not_Lactating"
"T93175",3.23,3.23,1.2,24.84,1.03,24.19,"Anubis","F","5/23/93",2014-08-20,21.24,16.3,NA,NA,"NE",56,17,"Y","N","N","N",0,0,0,-1,0,"Not_Lactating"
